id,displayname,fullname,searchname,gender,generation,teachers,students,specifiedteachers,specifiedstudents,info,hadiths,notes
1,Prophet Muḥammad,"Prophet Muḥammad, peace and blessings be upon him",Prophet Muhammad,male,,,,,"53, 2, 3, 9, 63",,,
2,Abu Bakr as-Ṣiddīq,Abu Bakr as-Ṣiddīq,Abu Bakr as-Siddiq,male,,,,1,53,Father of ʿAʾishah bint Abi Bakr and the first caliph in Islam,"https://isnad.io/hadith/5592, https://isnad.io/hadith/6241",
3,ʿUmar ibn al-Khaṭṭāb,ʿUmar ibn al-Khaṭṭāb,Umar ibn al-Khattab,male,,,,1,53,The second caliph in Islam,"https://isnad.io/hadith/110, https://isnad.io/hadith/1243, https://isnad.io/hadith/29",Not directly from the prophet ﷺto umar to aishah
9,Saʿd ibn Abi Waqqāṣ,Saʿd ibn Abi Waqqāṣ,Sad ibn Abi Waqqas,male,,,,1,53,,https://isnad.io/hadith/6327,
13,Abu Hurayrah,Abu Hurayrah Abdur-Rahman ibn Sakhr,Abu Hurayrah Abdur-Rahman ibn Sakhr,male,,,,53,,,"https://isnad.io/hadith/17745, https://isnad.io/hadith/25880",
17,ʿAbdullāh ibn ʿAbbās,ʿAbdullāh ibn ʿAbbās,Abdullah ibn Abbas,male,,,,53,,,https://isnad.io/hadith/29144,
18,ʿAbdullāh ibn ʿUmar,ʿAbdullāh ibn ʿUmar ibn al-Khaṭṭāb,Abdullah ibn Umar ibn al-Khattab,male,,,11011,"53, 11811",,"Brother of Ḥafṣah bint ʿUmar, another wife of the Prophet ﷺ","https://isnad.io/hadith/2133, https://isnad.io/hadith/24795",
41,Abu Mūsā al-Ashʿari,Abu Mūsā al-Ashʿari,Abu Musa al-Ashari,male,,,,53,,,"https://isnad.io/hadith/8330, https://isnad.io/hadith/20616, https://isnad.io/hadith/21705",
53,ʿAʾishah bint Abi Bakr,ʿAʾishah bint Abi Bakr,Aishah bint Abi Bakr,female,,,,"1, 2, 3, 6, 9, 63, 961","70, 106, 13, 17, 18, 41, 28, 10535, 10511, 10520, 10521, 10522, 11002, 10504, 10567, 11455, 11818, 10521",,,"10504, 10567, 11455 were not originally listed as students - I added them to the specified_students list."
63,Fāṭimah bint Muḥamamd,Fāṭimah bint Muḥamamd,Fatimah bint Muhamamd,female,,,,1,53,Daughter of the Prophet and step-daughter of ʿAʾishah bint Abi Bakr,https://isnad.io/hadith/2419,
70,Asmāʾ bint Abi Bakr,Asmāʾ bint Abi Bakr,Asma bint Abi Bakr,female,,,,53,10526,Sister of ʿAʾishah bint Abi Bakr,https://isnad.io/hadith/644,
106,ʿAbdullāh ibn al-Zubayr,ʿAbdullāh ibn al-Zubayr ibn al-ʿAwwām,Abdullah ibn al-Zubayr ibn al-Awwam,male,,,,53,,Nephew of ʿAʾishah bint Abi Bakr,https://isnad.io/hadith/518,
4109,Ḥārithah ibn Wahb,Ḥārithah ibn Wahb al-Khuzāʿi,Harithah ibn Wahb al-Khuzai,male,,,,11455,,,"https://isnad.io/hadith/28035, https://isnad.io/hadith/16398",
10504,ʿAiʾshah bint Ṭalḥah,ʿAiʾshah bint Ṭalḥah ibn ʿUbaydillāh,Aishah bint Talhah ibn Ubaydillah,female,,,,53,11863,"Wife of ʿAbdullāh ibn ʿAbdur-Raḥmān ibn Abi Bakr, who was the nephew of ʿĀʾishah bint Abi Bakr","https://isnad.io/hadith/115, https://isnad.io/hadith/22187","she also had a lot of students, try to find some who narrated from her aishah-narrated hadiths. https://isnad.io/rawi/10504, "
