id,displayname,fullname,searchname,gender,generation,teachers,students,specifiedteachers,specifiedstudents,info,hadiths,notes
1,Prophet Muḥammad,"Prophet Muḥammad, peace and blessings be upon him",Prophet Muhammad,male,,,,,"53, 2, 3, 9, 63, 59",,,
2,Abu Bakr as-Ṣiddīq,Abu Bakr as-Ṣiddīq,Abu Bakr as-Siddiq,male,,,,1,53,Father of ʿAʾishah bint Abi Bakr and the first caliph in Islam,"https://isnad.io/hadith/5592, https://isnad.io/hadith/6241",
3,ʿUmar ibn al-Khaṭṭāb,ʿUmar ibn al-Khaṭṭāb,Umar ibn al-Khattab,male,,,,1,53,The second caliph in Islam,"https://isnad.io/hadith/110, https://isnad.io/hadith/1243, https://isnad.io/hadith/29",Not directly from the prophet ﷺto umar to aishah
9,Saʿd ibn Abi Waqqāṣ,Saʿd ibn Abi Waqqāṣ,Sad ibn Abi Waqqas,male,,,,1,53,,https://isnad.io/hadith/6327,
13,Abu Hurayrah,Abu Hurayrah Abdur-Rahman ibn Sakhr,Abu Hurayrah Abdur-Rahman ibn Sakhr,male,,,,53,,,"https://isnad.io/hadith/17745, https://isnad.io/hadith/25880",
17,ʿAbdullāh ibn ʿAbbās,ʿAbdullāh ibn ʿAbbās,Abdullah ibn Abbas,male,,,,53,,,https://isnad.io/hadith/29144,
18,ʿAbdullāh ibn ʿUmar,ʿAbdullāh ibn ʿUmar ibn al-Khaṭṭāb,Abdullah ibn Umar ibn al-Khattab,male,,,11011,"53, 11811",11011,"Brother of Ḥafṣah bint ʿUmar, another wife of the Prophet ﷺ","https://isnad.io/hadith/2133, https://isnad.io/hadith/24795",
41,Abu Mūsā al-Ashʿari,Abu Mūsā al-Ashʿari,Abu Musa al-Ashari,male,,,,53,,,"https://isnad.io/hadith/8330, https://isnad.io/hadith/20616, https://isnad.io/hadith/21705",
53,ʿAʾishah bint Abi Bakr,ʿAʾishah bint Abi Bakr,Aishah bint Abi Bakr,female,,,,"1, 2, 3, 6, 9, 63, 961, 59","70, 106, 13, 17, 18, 41, 28, 10535, 10511, 10520, 10522, 11002, 10504, 10567, 11455, 11818, 10521, 2802, 10526, 10737, 59",,,"10504, 10567, 11455 were not originally listed as students - I added them to the specified_students list."
59,Ramlah bint Abi Sufyān,Umm al-Muʿminīn Umm Ḥabībah Ramlah bint Abi Sufyān,Umm Ḥabībah Ramlah bint Abi Sufyan,female,,,,"53, 1","11455, 53",Wife of the Prophet ﷺand daught of Abi Sufyān,"http://qaalarasulallah.com/hadith.php?ID=2&Rows=7&SID=59&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Umm%20Habibah%20bint%20Abi%20Sufyan%20%D8%A3%D9%85%20%D8%AD%D8%A8%D9%8A%D8%A8%D8%A9%20,%D8%B1%D9%85%D9%84%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%A3%D8%A8%D9%8A%20%D8%B3%D9%81%D9%8A%D8%A7%D9%86]",
63,Fāṭimah bint Muḥamamd,Fāṭimah bint Muḥamamd,Fatimah bint Muhamamd,female,,,,1,53,Daughter of the Prophet and step-daughter of ʿAʾishah bint Abi Bakr,https://isnad.io/hadith/2419,
70,Asmāʾ bint Abi Bakr,Asmāʾ bint Abi Bakr,Asma bint Abi Bakr,female,,,,53,10526,Sister of ʿAʾishah bint Abi Bakr,https://isnad.io/hadith/644,
106,ʿAbdullāh ibn al-Zubayr,ʿAbdullāh ibn al-Zubayr ibn al-ʿAwwām,Abdullah ibn al-Zubayr ibn al-Awwam,male,,,,53,,Nephew of ʿAʾishah bint Abi Bakr,https://isnad.io/hadith/518,
2802,Ṣafiyyah bint Shaybah,Ṣafiyyah bint Shaybah ibn ʿUthmān,Safiyyah bint Shaybah ibn Uthman,female,,,,53,"11565, 11255",,https://isnad.io/hadith/9214,
4109,Ḥārithah ibn Wahb,Ḥārithah ibn Wahb al-Khuzāʿi,Harithah ibn Wahb al-Khuzai,male,,,,11455,,,"https://isnad.io/hadith/28035, https://isnad.io/hadith/16398",
10504,ʿAiʾshah bint Ṭalḥah,ʿAiʾshah bint Ṭalḥah ibn ʿUbaydillāh,Aishah bint Talhah ibn Ubaydillah,female,,,,53,"11863, 11723",Niece of ʿĀʾishah bint Abi Bakr,"https://isnad.io/hadith/115, https://isnad.io/hadith/22187","she also had a lot of students, try to find some who narrated from her aishah-narrated hadiths. https://isnad.io/rawi/10504, "
10511,ʿUrwah ibn al-Zubayr,ʿUrwah ibn al-Zubayr ibn al-ʿAwwām,Urwah ibn al-Zubayr ibn al-Awwam,male,,,,"53, 11455","11013, 11065, 11002",Nephew of ʿAʾishah bint Abi Bakr,"https://isnad.io/hadith/12197, https://isnad.io/hadith/177, https://isnad.io/hadith/6327, https://isnad.io/hadith/3081, https://isnad.io/hadith/2686",
10521,Ḥafṣah bint ʿAbdur-Raḥmān,Ḥafṣah bint ʿAbdur-Raḥmān ibn Abi Bakr,Hafsah bint Abdur-Rahman ibn Abi Bakr,female,,"53, 107",11204,53,,Granddaughter of Abu Bakr and therefore the niece of ʿĀʾishah,https://isnad.io/hadith/5315,
10526,Fāṭimah bint al-Munthir ibn al-Zubayr,Fāṭimah bint al-Munthir ibn al-Zubayr ibn al-ʿAwwām,Fatimah bint al-Munthir ibn al-Zubayr ibn al-Awwam,female,,"53, 56, 70",,53,11065,Wife of Hishām ibn ʿUrwah ibn al-Zubayr and great-niece of ʿĀʾishah bint Abi Bakr,https://isnad.io/hadith/644,"this hadith also traces back to asma, who narrates part of what aishah says"
10530,ʿAbdur-Raḥmān ibn al-Qāsim ,ʿAbdur-Raḥmān ibn al-Qāsim ibn Muḥammad ibn Abi Bakr,Abdur-Rahman ibn al-Qasim ibn Muhammad ibn Abi Bakr,male,,,,10535,20001,Son of al-Qāsim ibn Muḥammad and great-nephew of ʿAʾishah bint Abi Bakr,https://isnad.io/hadith/134,
10535,al-Qāsim ibn Muḥammad,al-Qāsim ibn Muḥammad ibn Abi Bakr,al-Qasim ibn Muhammad ibn Abi Bakr,male,,,,53,"11555, 10530, 11014",Nephew of ʿAʾishah bint Abi Bakr,https://isnad.io/hadith/6923,
10567,Abu Salamah ibn ʿAbdur-Raḥmān,Abu Salamah ibn ʿAbdur-Raḥmān ibn ʿAwf,Abu Salamah ibn Abdur-Rahman ibn Awf,male,,,,53,"11013, 11164, 11168",,"https://isnad.io/hadith/178, https://isnad.io/hadith/165, https://isnad.io/hadith/4593, https://isnad.io/hadith/3618, https://isnad.io/hadith/4117, https://isnad.io/hadith/1908",
10737,Khayrah Umm al-Hasan al-Baṣri ,Khayrah Umm al-Hasan al-Baṣri ,Khayrah Umm al-Hasan al-Basri ,female,,,,53,11016,"Servant of Umm Salamah and the mother of the famous scholar, Al-Hasan Al-Baṣri",https://isnad.io/hadith/1429,https://isnad.io/rawi/10737
11002,Saʿīd ibn al-Musayyib,Saʿīd ibn al-Musayyib ibn Ḥazn al-Qurashi al-Makhzūmi,Said ibn al-Musayyib ibn Hazn al-Qurashi al-Makhzumi,male,,,,"53, 10511",11013,One of the Seven Jurists (Fuqahāʿ) of Medina,"https://isnad.io/hadith/3081, https://isnad.io/hadith/6248, https://isnad.io/hadith/19547",he learned from many female teachers too. https://www.instagram.com/p/CkUtdYkDmzj/
