id,displayname,fullname,searchname,gender,generation,teachers,students,specifiedteachers,specifiedstudents,info,hadiths,notes
1,Prophet Muḥammad,"Prophet Muḥammad, peace and blessings be upon him",Prophet Muhammad,male,,,,,"53, 1259, 1264",,,
53,ʿAʾishah bint Abi Bakr,ʿAʾishah bint Abi Bakr,Aishah bint Abi Bakr,female,,,,1,"11455, 59",,,
4109,Ḥārithah ibn Wahb,Ḥārithah ibn Wahb al-Khuzāʿi,Harithah ibn Wahb al-Khuzai,male,,,,11455,,,"https://isnad.io/hadith/28035, https://isnad.io/hadith/16398",
11455,ʿAmrah bint ʿAbd ur-Raḥmān,ʿAmrah bint ʿAbd ur-Raḥmān ibn Saʿd ibn Zarārah,Amrah bint Abdur-Rahman ibn Sad ibn Zararah,female,,,,"53, 1259, 1264, 59","10511, 4109, 11062, 11013",,"https://isnad.io/hadith/14555, https://isnad.io/hadith/257",she also taught urwah ibn az-zubayr (not sure if the hadith she taught him came from aishah or not tho)
10511,ʿUrwah ibn al-Zubayr,ʿUrwah ibn al-Zubayr ibn al-ʿAwwām,Urwah ibn al-Zubayr ibn al-Awwam,male,,,,11455,,Nephew of ʿAʾishah bint Abi Bakr,,
1259,Umm Hishām bint Ḥārithah,Umm Hishām bint Ḥārithah bint al-Nuʿmān,Umm Hisham bint Harithah bint al-Numan,female,,,,1,11455,,http://qaalarasulallah.com/hadith.php?ID=4&Rows=1&SID=1259&head=Sunan%20an-Nasa%27i%20[Narrated%20by%20Umm%20Hisham%20bint%20Haritha%20bin%20al-Nu%27man%20%D8%A3%D9%85%20%D9%87%D8%B4%D8%A7%D9%85%20%D8%A8%D9%86%D8%AA%20%D8%AD%D8%A7%D8%B1%D8%AB%D8%A9%20%D8%A8%D9%86%20%D8%A7%D9%84%D9%86%D8%B9%D9%85%D8%A7%D9%86],
1264,Ḥabībah bint Sahl,Ḥabībah bint Sahl bint Thaʿlabah al-Anṣāriyyah,Habibah bint Sahl bint Thalabah al-Ansariyyah,female,,,,1,11455,,"http://qaalarasulallah.com/hadith.php?ID=4&Rows=1&SID=1264&head=Sunan%20an-Nasa%27i%20[Narrated%20by%20Habiba%20bint%20Sahl%20bin%20Tha%27laba%20%D8%AD%D8%A8%D9%8A%D8%A8%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B3%D9%87%D9%84%20%D8%A8%D9%86%20%D8%AB%D8%B9%D9%84%D8%A8%D8%A9], http://qaalarasulallah.com/hadith.php?ID=2&Rows=1&SID=1264&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Habiba%20bint%20Sahl%20bin%20Tha%27laba%20%D8%AD%D8%A8%D9%8A%D8%A8%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B3%D9%87%D9%84%20%D8%A8%D9%86%20%D8%AB%D8%B9%D9%84%D8%A8%D8%A9]",
11062,Yaḥyā ibn Saʿīd,Yaḥyā ibn Saʿīd al-Anṣārī,Yahya ibn Said al-Ansari,male,,,,11455,20001,,"http://qaalarasulallah.com/hadith.php?ID=4&Rows=1&SID=1264&head=Sunan%20an-Nasa%27i%20[Narrated%20by%20Habiba%20bint%20Sahl%20bin%20Tha%27laba%20%D8%AD%D8%A8%D9%8A%D8%A8%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B3%D9%87%D9%84%20%D8%A8%D9%86%20%D8%AB%D8%B9%D9%84%D8%A8%D8%A9], http://qaalarasulallah.com/hadith.php?ID=2&Rows=1&SID=1264&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Habiba%20bint%20Sahl%20bin%20Tha%27laba%20%D8%AD%D8%A8%D9%8A%D8%A8%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B3%D9%87%D9%84%20%D8%A8%D9%86%20%D8%AB%D8%B9%D9%84%D8%A8%D8%A9]",
20001,Imām Mālik,Mālik ibn Anas,Malik ibn Anas,male,,,,11062,,Founder of one of the four legal schools of thought in Sunni Islam,"http://qaalarasulallah.com/hadith.php?ID=4&Rows=1&SID=1264&head=Sunan%20an-Nasa%27i%20[Narrated%20by%20Habiba%20bint%20Sahl%20bin%20Tha%27laba%20%D8%AD%D8%A8%D9%8A%D8%A8%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B3%D9%87%D9%84%20%D8%A8%D9%86%20%D8%AB%D8%B9%D9%84%D8%A8%D8%A9], http://qaalarasulallah.com/hadith.php?ID=2&Rows=1&SID=1264&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Habiba%20bint%20Sahl%20bin%20Tha%27laba%20%D8%AD%D8%A8%D9%8A%D8%A8%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B3%D9%87%D9%84%20%D8%A8%D9%86%20%D8%AB%D8%B9%D9%84%D8%A8%D8%A9]",
59,Ramlah bint Abi Sufyān,Umm al-Muʿminīn Umm Ḥabībah Ramlah bint Abi Sufyān,Umm Ḥabībah Ramlah bint Abi Sufyan,female,,,,53,11455,Wife of the Prophet ﷺand daught of Abi Sufyān,"http://qaalarasulallah.com/hadith.php?ID=2&Rows=7&SID=59&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Umm%20Habibah%20bint%20Abi%20Sufyan%20%D8%A3%D9%85%20%D8%AD%D8%A8%D9%8A%D8%A8%D8%A9%20,%D8%B1%D9%85%D9%84%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%A3%D8%A8%D9%8A%20%D8%B3%D9%81%D9%8A%D8%A7%D9%86]",
11013,Ibn Shihāb az-Zuhri,Muḥammad ibn Muslim ibn ʿUbaydullāh ibn ʿAbdullāh ibn Shihāb al-Zuhri,Muhammad ibn Muslim ibn Ubaydullah ibn Abdullah ibn Shihab al-Zuhri,male,,,,11455,,,"http://qaalarasulallah.com/hadith.php?ID=2&Rows=7&SID=59&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Umm%20Habibah%20bint%20Abi%20Sufyan%20%D8%A3%D9%85%20%D8%AD%D8%A8%D9%8A%D8%A8%D8%A9%20,%D8%B1%D9%85%D9%84%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%A3%D8%A8%D9%8A%20%D8%B3%D9%81%D9%8A%D8%A7%D9%86]",
