id,displayname,fullname,searchname,gender,generation,teachers,students,specifiedteachers,specifiedstudents,info,hadiths,notes
1,Prophet Muḥammad,"Prophet Muḥammad, peace and blessings be upon him",Prophet Muhammad,male,,,,,"70, 53",,,
53,ʿAʾishah bint Abi Bakr,ʿAʾishah bint Abi Bakr,Aishah bint Abi Bakr,female,,,,1,70,"Wife of the Prophet ﷺand daughter of Abi Bakr, the first caliph",https://isnad.io/hadith/644,
70,Asmāʾ bint Abi Bakr,Asmāʾ bint Abi Bakr,Asma bint Abi Bakr,female,,,,"53, 1","10526, 10511, 2802, 11250","Sister of ʿAʾishah bint Abi Bakr, daughter of Abi Bakr (the first caliph), wife of al-Zubayr ibn al-ʾAwwām, and sister-in-law of the Prophet ﷺ",,
2802,Ṣafiyyah bint Shaybah,Ṣafiyyah bint Shaybah ibn ʿUthmān,Safiyyah bint Shaybah ibn Uthman,female,,,,70,,,https://isnad.io/hadith/351,
10511,ʿUrwah ibn al-Zubayr,ʿUrwah ibn al-Zubayr ibn al-ʿAwwām,Urwah ibn al-Zubayr ibn al-Awwam,male,,,,70,"11065, 10567",Son of Asmāʿ bint Abi Bakr and therefore nephew of ʿĀʾishah bint Abi Bakr,"https://isnad.io/hadith/2344, https://isnad.io/hadith/1794, https://isnad.io/hadith/2346, https://isnad.io/hadith/3683",
10526,Fāṭimah bint al-Munthir ibn al-Zubayr,Fāṭimah bint al-Munthir ibn al-Zubayr ibn al-ʿAwwām,Fatimah bint al-Munthir ibn al-Zubayr ibn al-Awwam,female,,,,70,11065,Wife of Hishām ibn ʿUrwah ibn al-Zubayr and granddaughter of Asmāʿ bint Abi Bakr,https://isnad.io/hadith/644,
10567,Abu Salamah ibn ʿAbdur-Raḥmān,Abu Salamah ibn ʿAbdur-Raḥmān ibn ʿAwf,Abu Salamah ibn Abdur-Rahman ibn Awf,male,,,,10511,,,https://isnad.io/hadith/1794,
11065,Hishām ibn ʿUrwah,Hishām ibn ʿUrwah ibn az-Zubayr ibn al-ʿAwwām,Hisham ibn Urwah ibn az-Zubayr ibn al-Awwam,male,,,,"10526, 10511","20001, 20318","Husband of Fātimah bint al-Munthir, son of ʿUrwah ibn al-Zubayr, and grandson of Asmāʿ bint Abi Bakr","https://isnad.io/hadith/644, https://isnad.io/hadith/2346, https://isnad.io/hadith/3683",
11107,Ibn Isḥāq,Muḥammad ibn Isḥāq ibn Yassār,Muhammad ibn Ishaq ibn Yassar,male,,,,19826,20102,"8th century author of the famous Sīrat Rasūlullah, a biography of the Prophet Muḥammad ﷺ ","https://isnad.io/hadith/24781, http://qaalarasulallah.com/hadith.php?ID=2&Rows=231&SID=30007&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Ahmad%20bin%20Hanbal%20%D8%A3%D8%AD%D9%85%D8%AF%20%D8%A8%D9%86%20%D8%AD%D9%86%D8%A8%D9%84]","this is THE Ibn Ishaq! https://en.wikipedia.org/wiki/Ibn_Ishaq, https://www.britannica.com/biography/Muhammad"
11250,ʿAbbād ibn ʿAbdullāh ibn al-Zubayr,ʿAbbād ibn ʿAbdullāh ibn al-Zubayr ibn al-ʿAwwām,Abbad ibn Abdullah ibn al-Zubayr ibn al-Awwam,male,,,,70,19826,Grandson of Asmāʾ bint Abi Bakr and al-Zubayr ibn al-ʿAwwām,"https://isnad.io/hadith/24781, http://qaalarasulallah.com/hadith.php?ID=2&Rows=231&SID=30007&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Ahmad%20bin%20Hanbal%20%D8%A3%D8%AD%D9%85%D8%AF%20%D8%A8%D9%86%20%D8%AD%D9%86%D8%A8%D9%84]",
19826,Yaḥyā ibn ʿAbbād ibn ʿAbdullāh,Yaḥyā ibn ʿAbbād ibn ʿAbdullāh ibn al-Zubayr ibn al-ʿAwwām,Yahya ibn Abbad ibn Abdullah ibn al-Zubayr ibn al-Awwam,male,,,,11250,11107,Son of ʿAbbād ibn ʿAbdullāh and therefore great-grandson of Asmāʾ bint Abi Bakr and al-Zubayr ibn al-ʿAwwām,"https://isnad.io/hadith/24781, http://qaalarasulallah.com/hadith.php?ID=2&Rows=231&SID=30007&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Ahmad%20bin%20Hanbal%20%D8%A3%D8%AD%D9%85%D8%AF%20%D8%A8%D9%86%20%D8%AD%D9%86%D8%A8%D9%84]",
20001,Imām Mālik,Mālik ibn Anas,Malik ibn Anas,male,,,,11065,,Founder of one of the four legal schools of thought in Sunni Islam,https://isnad.io/hadith/644,
20102,ʿAbdullāh ibn Idrīs,ʿAbdullāh ibn Idrīs ibn Yazīd al-Awdi,Abdullah ibn Idris ibn Yazid al-Awdi,male,,,,11107,30379,,https://isnad.io/hadith/24781,
20318,Ḥammād ibn Usāmah,Abu Usāmah Ḥammād ibn Usāmah,Abu Usamah Hammad ibn Usamah,male,,,,11065,,,http://qaalarasulallah.com/hadith.php?ID=0&Rows=21&SID=10526&head=Sahih%20Bukhari%20[Narrated%20by%20Fatima%20bint%20al-Mundhir%20bin%20al-Zubayr%20%D9%81%D8%A7%D8%B7%D9%85%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%A7%D9%84%D9%85%D9%86%D8%B0%D8%B1%20%D8%A8%D9%86%20%D8%A7%D9%84%D8%B2%D8%A8%D9%8A%D8%B1],
30007,Aḥmad ibn Ḥanbal,Aḥmad ibn Ḥanbal,Ahmad ibn Hanbal,male,,,,30379,,Founder of one of the four legal schools of thought in Sunni Islam,"https://isnad.io/hadith/24781, http://qaalarasulallah.com/hadith.php?ID=2&Rows=231&SID=30007&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Ahmad%20bin%20Hanbal%20%D8%A3%D8%AD%D9%85%D8%AF%20%D8%A8%D9%86%20%D8%AD%D9%86%D8%A8%D9%84]",
30379,Muḥammad ibn ʿAbdul-ʿAzīz,Muḥammad ibn ʿAbdul-ʿAzīz ibn Abi Razmah,Muhammad ibn Abdul-Aziz ibn Abi Razmah,male,,,,20102,30007,,"https://isnad.io/hadith/24781, http://qaalarasulallah.com/hadith.php?ID=2&Rows=231&SID=30007&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Ahmad%20bin%20Hanbal%20%D8%A3%D8%AD%D9%85%D8%AF%20%D8%A8%D9%86%20%D8%AD%D9%86%D8%A8%D9%84]",
