id,displayname,fullname,searchname,gender,generation,teachers,students,specifiedteachers,specifiedstudents,info,hadiths,notes
1,Prophet Muḥammad,"Prophet Muḥammad, peace and blessings be upon him",Prophet Muhammad,male,,,,,"70, 53, 56",,,
53,ʿAʾishah bint Abi Bakr,ʿAʾishah bint Abi Bakr,Aishah bint Abi Bakr,female,,,,1,"70, 10526","Wife of the Prophet ﷺand daughter of Abi Bakr, the first caliph","https://isnad.io/hadith/644, http://qaalarasulallah.com/hadith.php?ID=0&Rows=21&SID=10526&head=Sahih%20Bukhari%20[Narrated%20by%20Fatima%20bint%20al-Mundhir%20bin%20al-Zubayr%20%D9%81%D8%A7%D8%B7%D9%85%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%A7%D9%84%D9%85%D9%86%D8%B0%D8%B1%20%D8%A8%D9%86%20%D8%A7%D9%84%D8%B2%D8%A8%D9%8A%D8%B1]","hadith 644 also traces back to asma, who narrates part of what aishah says"
56,Umm Salamah,Hind bint Abi Umayyah ibn al-Mughīrah,Umm Salamah Hind bint Abi Umayyah ibn al-Mughīrah,female,,,,1,10526,Wife of the Prophet Muḥammad ﷺ,http://qaalarasulallah.com/hadith.php?ID=3&Rows=3&SID=10526&head=Jami%27%20al-Tirmidhi%20[Narrated%20by%20Fatima%20bint%20al-Mundhir%20bin%20al-Zubayr%20%D9%81%D8%A7%D8%B7%D9%85%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%A7%D9%84%D9%85%D9%86%D8%B0%D8%B1%20%D8%A8%D9%86%20%D8%A7%D9%84%D8%B2%D8%A8%D9%8A%D8%B1],
70,Asmāʾ bint Abi Bakr,Asmāʾ bint Abi Bakr,Asma bint Abi Bakr,female,,,,"1, 53",,Sister of ʿAʾishah bint Abi Bakr,http://qaalarasulallah.com/hadith.php?ID=0&Rows=21&SID=10526&head=Sahih%20Bukhari%20[Narrated%20by%20Fatima%20bint%20al-Mundhir%20bin%20al-Zubayr%20%D9%81%D8%A7%D8%B7%D9%85%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%A7%D9%84%D9%85%D9%86%D8%B0%D8%B1%20%D8%A8%D9%86%20%D8%A7%D9%84%D8%B2%D8%A8%D9%8A%D8%B1],
10526,Fāṭimah bint al-Munthir ibn al-Zubayr,Fāṭimah bint al-Munthir ibn al-Zubayr ibn al-ʿAwwām,Fatimah bint al-Munthir ibn al-Zubayr ibn al-Awwam,female,,"53, 56, 70",11065,"70, 56, 53","11065, 11107",Wife of Hishām ibn ʿUrwah ibn al-Zubayr and great-niece of ʿĀʾishah bint Abi Bakr,,
11065,Hishām ibn ʿUrwah,Hishām ibn ʿUrwah ibn az-Zubayr ibn al-ʿAwwām,Hisham ibn Urwah ibn az-Zubayr ibn al-Awwam,male,,,,"10526, 20318","20001, 20012",Son of ʿUrwah ibn al-Zubayr and great-nephew of ʿAʾishah bint Abi Bakr,http://qaalarasulallah.com/hadith.php?ID=0&Rows=21&SID=10526&head=Sahih%20Bukhari%20[Narrated%20by%20Fatima%20bint%20al-Mundhir%20bin%20al-Zubayr%20%D9%81%D8%A7%D8%B7%D9%85%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%A7%D9%84%D9%85%D9%86%D8%B0%D8%B1%20%D8%A8%D9%86%20%D8%A7%D9%84%D8%B2%D8%A8%D9%8A%D8%B1],
11107,Ibn Isḥāq,Muḥammad ibn Isḥāq ibn Yassār,Muhammad ibn Ishaq ibn Yassar,male,,,,10526,,"8th century author of the famous Sīrat Rasūlullah, a biography of the Prophet Muḥammad ﷺ ",http://qaalarasulallah.com/hadith.php?ID=2&Rows=5&SID=10526&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Fatima%20bint%20al-Mundhir%20bin%20al-Zubayr%20%D9%81%D8%A7%D8%B7%D9%85%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%A7%D9%84%D9%85%D9%86%D8%B0%D8%B1%20%D8%A8%D9%86%20%D8%A7%D9%84%D8%B2%D8%A8%D9%8A%D8%B1],
20001,Imām Mālik,Mālik ibn Anas,Malik ibn Anas,male,,,,11065,,Founder of one of the four legal schools of thought in Sunni Islam,http://qaalarasulallah.com/hadith.php?ID=0&Rows=21&SID=10526&head=Sahih%20Bukhari%20[Narrated%20by%20Fatima%20bint%20al-Mundhir%20bin%20al-Zubayr%20%D9%81%D8%A7%D8%B7%D9%85%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%A7%D9%84%D9%85%D9%86%D8%B0%D8%B1%20%D8%A8%D9%86%20%D8%A7%D9%84%D8%B2%D8%A8%D9%8A%D8%B1],
20012,Sufyān al-Thawri,Sufyān ibn Saʾīd al-Thawri,Sufyan ibn Said al-Thawri,male,,,,11065,,"8th century jurist, author, ascetic, and hafiẓ ",http://qaalarasulallah.com/hadith.php?ID=0&Rows=21&SID=10526&head=Sahih%20Bukhari%20[Narrated%20by%20Fatima%20bint%20al-Mundhir%20bin%20al-Zubayr%20%D9%81%D8%A7%D8%B7%D9%85%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%A7%D9%84%D9%85%D9%86%D8%B0%D8%B1%20%D8%A8%D9%86%20%D8%A7%D9%84%D8%B2%D8%A8%D9%8A%D8%B1],"https://sunnahonline.com/library/purification-of-the-soul/610-advice-of-sufyan-ath-thawri-the, https://abdurrahman.org/tag/sufyaan-ath-thawri/, https://wajibad.wordpress.com/2015/10/10/sufyan-ath-thawri-ibn-said/"
20318,Ḥammād ibn Usāmah,Abu Usāmah Ḥammād ibn Usāmah,Abu Usamah Hammad ibn Usamah,male,,,,11065,,,http://qaalarasulallah.com/hadith.php?ID=0&Rows=21&SID=10526&head=Sahih%20Bukhari%20[Narrated%20by%20Fatima%20bint%20al-Mundhir%20bin%20al-Zubayr%20%D9%81%D8%A7%D8%B7%D9%85%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%A7%D9%84%D9%85%D9%86%D8%B0%D8%B1%20%D8%A8%D9%86%20%D8%A7%D9%84%D8%B2%D8%A8%D9%8A%D8%B1],
