id,displayname,fullname,searchname,gender,generation,teachers,students,specifiedteachers,specifiedstudents,info,hadiths,notes
1,Prophet Muḥammad,"Prophet Muḥammad, peace and blessings be upon him",Prophet Muhammad,male,,,,,71,,,
71,Umm ʿAṭiyyah al-Anṣāriyyah,Nasībah bint al-Ḥārith Umm ʿAṭiyyah al-Anṣāriyyah,Nasibah bint al-Harith Umm Atiyyah al-Ansariyyah,female,,,,1,"11039, 20278, 11035, 11368","She helped wash the body of Zaynab, the daughter of the Prophet ﷺ, when she died, and participated in several battles alongside the Prophet ﷺ.","https://isnad.io/hadith/23958, https://isnad.io/hadith/23957, https://isnad.io/hadith/23949, https://isnad.io/hadith/28409",
11015,Ayyūb al-Sakhtiyāni,Ayyūb ibn Abi Tamīmah al-Sakhtiyāni,Ayyub ibn Abi Tamimah al-Sakhtiyani,male,,,,"11039, 20278, 11035","20022, 20001",,http://qaalarasulallah.com/hadith.php?ID=0&Rows=24&SID=71&head=Sahih%20Bukhari%20[Narrated%20by%20Umm%20Atiyyah%20Ansariyah%20%D8%A3%D9%85%20%D8%B9%D8%B7%D9%8A%D8%A9%20%D8%A7%D9%84%D8%A3%D9%86%D8%B5%D8%A7%D8%B1%D9%8A%D8%A9],
11019,Qatādah,Qatādah ibn Diʿāmah,Abu al-Khaṭṭāb Qatādah ibn Diʿāmah,male,,,,11039,20022,8th century scholar of Qurʾānic exegisis and ḥadith,http://qaalarasulallah.com/hadith.php?ID=2&Rows=14&SID=71&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Umm%20Atiyyah%20Ansariyah%20%D8%A3%D9%85%20%D8%B9%D8%B7%D9%8A%D8%A9%20%D8%A7%D9%84%D8%A3%D9%86%D8%B5%D8%A7%D8%B1%D9%8A%D8%A9],https://en.wikipedia.org/wiki/Qatada_ibn_Di%27ama
11035,Muḥammad ibn Sīrīn,Muḥammad ibn Sīrīn,Muhammad ibn Sirin,male,,,,71,11015,A prominent 8th century scholar and hadith narrator and brother of Ḥafṣah bint Sīrīn. ,http://qaalarasulallah.com/hadith.php?ID=0&Rows=24&SID=71&head=Sahih%20Bukhari%20[Narrated%20by%20Umm%20Atiyyah%20Ansariyah%20%D8%A3%D9%85%20%D8%B9%D8%B7%D9%8A%D8%A9%20%D8%A7%D9%84%D8%A3%D9%86%D8%B5%D8%A7%D8%B1%D9%8A%D8%A9],
11039,Ḥafṣah bint Sīrīn,Umm al-Huthayl Ḥafṣah bint Sīrīn al-Anṣāriyyah,Umm al-Huthayl Hafsah bint Sirin al-Ansariyyah,female,,,,71,"11015, 11065, 11282, 11019","8th century jurist, scholar, ascetic, and sister of the famous scholar Muḥammad ibn Sīrīn",http://qaalarasulallah.com/hadith.php?ID=0&Rows=24&SID=71&head=Sahih%20Bukhari%20[Narrated%20by%20Umm%20Atiyyah%20Ansariyah%20%D8%A3%D9%85%20%D8%B9%D8%B7%D9%8A%D8%A9%20%D8%A7%D9%84%D8%A3%D9%86%D8%B5%D8%A7%D8%B1%D9%8A%D8%A9],
11065,Hishām ibn ʿUrwah,Hishām ibn ʿUrwah ibn az-Zubayr ibn al-ʿAwwām,Hisham ibn Urwah ibn az-Zubayr ibn al-Awwam,male,,,,11039,20012,Son of ʿUrwah ibn al-Zubayr and great-nephew of ʿAʾishah bint Abi Bakr,http://qaalarasulallah.com/hadith.php?ID=0&Rows=24&SID=71&head=Sahih%20Bukhari%20[Narrated%20by%20Umm%20Atiyyah%20Ansariyah%20%D8%A3%D9%85%20%D8%B9%D8%B7%D9%8A%D8%A9%20%D8%A7%D9%84%D8%A3%D9%86%D8%B5%D8%A7%D8%B1%D9%8A%D8%A9],
11282,Khālid ibn Mahran al-Ḥithāʾ,Abu al-Manāzil Khālid ibn Mahran al-Ḥithāʾ,Abu al-Manazil Khalid ibn Mahran al-Hitha,male,,,,11039,,,http://qaalarasulallah.com/hadith.php?ID=1&Rows=19&SID=71&head=Sahih%20Muslim%20[Narrated%20by%20Umm%20Atiyyah%20Ansariyah%20%D8%A3%D9%85%20%D8%B9%D8%B7%D9%8A%D8%A9%20%D8%A7%D9%84%D8%A3%D9%86%D8%B5%D8%A7%D8%B1%D9%8A%D8%A9],there were too many from hafsah to him to ignore
11368,ʿAbdul Mālik ibn ʿUmayr,Abu ʿAmr ʿAbdul Mālik ibn ʿUmayr al-Qabṭi,Abu Amr Abdul Malik ibn Umayr al-Qabti,male,,,,71,,,http://qaalarasulallah.com/hadith.php?ID=2&Rows=14&SID=71&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Umm%20Atiyyah%20Ansariyah%20%D8%A3%D9%85%20%D8%B9%D8%B7%D9%8A%D8%A9%20%D8%A7%D9%84%D8%A3%D9%86%D8%B5%D8%A7%D8%B1%D9%8A%D8%A9],http://muslimscholars.info/manage2.php?submit=scholar&ID=11368
20001,Imām Mālik,Mālik ibn Anas,Malik ibn Anas,male,,,,11015,,Founder of one of the four legal schools of thought in Sunni Islam,http://qaalarasulallah.com/hadith.php?ID=0&Rows=24&SID=71&head=Sahih%20Bukhari%20[Narrated%20by%20Umm%20Atiyyah%20Ansariyah%20%D8%A3%D9%85%20%D8%B9%D8%B7%D9%8A%D8%A9%20%D8%A7%D9%84%D8%A3%D9%86%D8%B5%D8%A7%D8%B1%D9%8A%D8%A9],
