id,displayname,fullname,searchname,gender,generation,teachers,students,specifiedteachers,specifiedstudents,info,hadiths,notes
1,Prophet Muḥammad,"Prophet Muḥammad, peace and blessings be upon him",Prophet Muhammad,male,,,,,"53, 70, 56, 54, 2802, 2805",,,
19,Anas ibn Mālik ,Anas ibn Mālik ,Anas ibn Malik ,male,,,,1,2805,"A child companion who befriended, served, and observed the Prophet ﷺ since the Hijrah, when he was 10 years old, and grew up to be a prominent narrator of hadith",http://qaalarasulallah.com/hadith.php?ID=2&Rows=15&SID=2802&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Safiyya%20bint%20Shayba%20bin%20%27Uthman%20%D8%B5%D9%81%D9%8A%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B4%D9%8A%D8%A8%D8%A9%20%D8%A8%D9%86%20%D8%B9%D8%AB%D9%85%D8%A7%D9%86%20%D8%A7%D9%84%D8%B9%D8%A8%D8%AF%D8%B1%D9%8A%D8%A9],
53,ʿAʾishah bint Abi Bakr,ʿAʾishah bint Abi Bakr,Aishah bint Abi Bakr,female,,,,1,"2802, 70","Wife of the Prophet ﷺand daughter of Abi Bakr, the first caliph","http://qaalarasulallah.com/hadith.php?ID=2&Rows=15&SID=2802&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Safiyya%20bint%20Shayba%20bin%20%27Uthman%20%D8%B5%D9%81%D9%8A%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B4%D9%8A%D8%A8%D8%A9%20%D8%A8%D9%86%20%D8%B9%D8%AB%D9%85%D8%A7%D9%86%20%D8%A7%D9%84%D8%B9%D8%A8%D8%AF%D8%B1%D9%8A%D8%A9], http://qaalarasulallah.com/hadith.php?ID=0&Rows=9&SID=2802&head=Sahih%20Bukhari%20[Narrated%20by%20Safiyya%20bint%20Shayba%20bin%20%27Uthman%20%D8%B5%D9%81%D9%8A%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B4%D9%8A%D8%A8%D8%A9%20%D8%A8%D9%86%20%D8%B9%D8%AB%D9%85%D8%A7%D9%86%20%D8%A7%D9%84%D8%B9%D8%A8%D8%AF%D8%B1%D9%8A%D8%A9]",
54,Ḥafṣah bint ʿUmar,Ḥafṣah bint ʿUmar ibn al-Khaṭṭāb,Hafsah bint Umar,female,,,,1,2802,"Wife of the Prophet ﷺ and daughter of ʿUmar, the second caliph",http://qaalarasulallah.com/hadith.php?ID=4&Rows=11&SID=2802&head=Sunan%20an-Nasa%27i%20[Narrated%20by%20Safiyya%20bint%20Shayba%20bin%20%27Uthman%20%D8%B5%D9%81%D9%8A%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B4%D9%8A%D8%A8%D8%A9%20%D8%A8%D9%86%20%D8%B9%D8%AB%D9%85%D8%A7%D9%86%20%D8%A7%D9%84%D8%B9%D8%A8%D8%AF%D8%B1%D9%8A%D8%A9],
56,Umm Salamah,Hind bint Abi Umayyah ibn al-Mughīrah,Umm Salamah Hind bint Abi Umayyah ibn al-Mughīrah,female,,,,1,2802,Wife of the Prophet Muḥammad ﷺ,http://qaalarasulallah.com/hadith.php?ID=2&Rows=15&SID=2802&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Safiyya%20bint%20Shayba%20bin%20%27Uthman%20%D8%B5%D9%81%D9%8A%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B4%D9%8A%D8%A8%D8%A9%20%D8%A8%D9%86%20%D8%B9%D8%AB%D9%85%D8%A7%D9%86%20%D8%A7%D9%84%D8%B9%D8%A8%D8%AF%D8%B1%D9%8A%D8%A9],
70,Asmāʾ bint Abi Bakr,Asmāʾ bint Abi Bakr,Asma bint Abi Bakr,female,,,,"1, 53",2802,Sister of ʿAʾishah bint Abi Bakr,"http://qaalarasulallah.com/hadith.php?ID=2&Rows=15&SID=2802&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Safiyya%20bint%20Shayba%20bin%20%27Uthman%20%D8%B5%D9%81%D9%8A%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B4%D9%8A%D8%A8%D8%A9%20%D8%A8%D9%86%20%D8%B9%D8%AB%D9%85%D8%A7%D9%86%20%D8%A7%D9%84%D8%B9%D8%A8%D8%AF%D8%B1%D9%8A%D8%A9], http://qaalarasulallah.com/hadith.php?ID=0&Rows=9&SID=2802&head=Sahih%20Bukhari%20[Narrated%20by%20Safiyya%20bint%20Shayba%20bin%20%27Uthman%20%D8%B5%D9%81%D9%8A%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B4%D9%8A%D8%A8%D8%A9%20%D8%A8%D9%86%20%D8%B9%D8%AB%D9%85%D8%A7%D9%86%20%D8%A7%D9%84%D8%B9%D8%A8%D8%AF%D8%B1%D9%8A%D8%A9]",
2802,Ṣafiyyah bint Shaybah ibn ʿUthmān,Ṣafiyyah bint Shaybah ibn ʿUthmān,Safiyyah bint Shaybah ibn Uthman,female,,"70, 59, 53, 56",,"53, 70, 56, 54, 1","11019, 11014, 11200, 11565",,http://qaalarasulallah.com/hadith.php?ID=5&Rows=9&SID=2802&head=Sunan%20Ibn%20Majah%20[Narrated%20by%20Safiyya%20bint%20Shayba%20bin%20%27Uthman%20%D8%B5%D9%81%D9%8A%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B4%D9%8A%D8%A8%D8%A9%20%D8%A8%D9%86%20%D8%B9%D8%AB%D9%85%D8%A7%D9%86%20%D8%A7%D9%84%D8%B9%D8%A8%D8%AF%D8%B1%D9%8A%D8%A9],
2805,Umm ʿUthmān ,Umm ʿUthman bint Sufyān or Umm Walad,Umm Uthman Umm Walad,female,,,,"1, 19",2802,Mother of Ṣafiyyah bint Shaybah,"http://qaalarasulallah.com/hadith.php?ID=5&Rows=9&SID=2802&head=Sunan%20Ibn%20Majah%20[Narrated%20by%20Safiyya%20bint%20Shayba%20bin%20%27Uthman%20%D8%B5%D9%81%D9%8A%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B4%D9%8A%D8%A8%D8%A9%20%D8%A8%D9%86%20%D8%B9%D8%AB%D9%85%D8%A7%D9%86%20%D8%A7%D9%84%D8%B9%D8%A8%D8%AF%D8%B1%D9%8A%D8%A9], http://qaalarasulallah.com/hadith.php?ID=2&Rows=15&SID=2802&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Safiyya%20bint%20Shayba%20bin%20%27Uthman%20%D8%B5%D9%81%D9%8A%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B4%D9%8A%D8%A8%D8%A9%20%D8%A8%D9%86%20%D8%B9%D8%AB%D9%85%D8%A7%D9%86%20%D8%A7%D9%84%D8%B9%D8%A8%D8%AF%D8%B1%D9%8A%D8%A9]",
11014,Nāfiʿ Mawlā Ibn ʿUmar,Nāfiʿ Abu ʿAbdullāh Mawlā Ibn ʿUmar,Nafi Abu Abdullah Mawla Ibn Umar,male,,,,2802,,Servant of ʿAbdullāh ibn ʿUmar,http://qaalarasulallah.com/hadith.php?ID=4&Rows=11&SID=2802&head=Sunan%20an-Nasa%27i%20[Narrated%20by%20Safiyya%20bint%20Shayba%20bin%20%27Uthman%20%D8%B5%D9%81%D9%8A%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B4%D9%8A%D8%A8%D8%A9%20%D8%A8%D9%86%20%D8%B9%D8%AB%D9%85%D8%A7%D9%86%20%D8%A7%D9%84%D8%B9%D8%A8%D8%AF%D8%B1%D9%8A%D8%A9],
11019,Qatādah,Qatādah ibn Diʿāmah,Abu al-Khaṭṭāb Qatādah ibn Diʿāmah,male,,,,2802,,8th century scholar of Qurʾānic exegisis and ḥadith,http://qaalarasulallah.com/hadith.php?ID=2&Rows=15&SID=2802&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Safiyya%20bint%20Shayba%20bin%20%27Uthman%20%D8%B5%D9%81%D9%8A%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B4%D9%8A%D8%A8%D8%A9%20%D8%A8%D9%86%20%D8%B9%D8%AB%D9%85%D8%A7%D9%86%20%D8%A7%D9%84%D8%B9%D8%A8%D8%AF%D8%B1%D9%8A%D8%A9],
