id,displayname,fullname,searchname,gender,generation,teachers,students,specifiedteachers,specifiedstudents,info,hadiths,notes
1,Prophet Muḥammad,"Prophet Muḥammad, peace and blessings be upon him",Prophet Muhammad,male,,,,,"37, 13, 5250",,,
13,Abu Hurayrah,Abu Hurayrah Abdur-Rahman ibn Sakhr,Abu Hurayrah Abdur-Rahman ibn Sakhr,male,,,,1,11457,,http://qaalarasulallah.com/hadith.php?ID=5&Rows=8&SID=11457&head=Sunan%20Ibn%20Majah%20[Narrated%20by%20Umm%20al-Darda%27a%20%D8%A3%D9%85%20%D8%A7%D9%84%D8%AF%D8%B1%D8%AF%D8%A7%D8%A1],
11044,Shahr ibn Ḥawshab,Shahr ibn Ḥawshab al-Ashʿari,Shahr ibn Hawshab al-Ashari,male,,,,11457,,,http://qaalarasulallah.com/hadith.php?ID=5&Rows=8&SID=11457&head=Sunan%20Ibn%20Majah%20[Narrated%20by%20Umm%20al-Darda%27a%20%D8%A3%D9%85%20%D8%A7%D9%84%D8%AF%D8%B1%D8%AF%D8%A7%D8%A1],
11457,Umm ad-Dardāʾ aṣ-Ṣughrā,Umm ad-Dardāʾ aṣ-Ṣughrā,Umm ad-Darda as-Sughra,female,,,,"13, 37, 5250","11044, 10920, 18679","Wife of the companion Abu ad-Dardāʾ. She was a scholar, jurist, and teacher based in Damascus and Jerusalem.",,
37,Abu ad-Dardāʾ,Abu ad-Dardāʾ,Uwaymir Abu ad-Darda al-Ansari,male,,,,1,11457,Companion of the Prophet ﷺ and husband of Umm ad-Dardāʿ ,http://qaalarasulallah.com/hadith.php?ID=2&Rows=9&SID=11457&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Umm%20al-Darda%27a%20%D8%A3%D9%85%20%D8%A7%D9%84%D8%AF%D8%B1%D8%AF%D8%A7%D8%A1],
5250,Kaʿb ibn ʿĀṣim,Kaʿb ibn ʿĀṣim al-Ashʿari,Kab ibn Asim al-Ashari,male,,,,1,11457,,http://qaalarasulallah.com/hadith.php?ID=4&Rows=1&SID=11457&head=Sunan%20an-Nasa%27i%20[Narrated%20by%20Umm%20al-Darda%27a%20%D8%A3%D9%85%20%D8%A7%D9%84%D8%AF%D8%B1%D8%AF%D8%A7%D8%A1],
10920,Ṣafwān ibn ʿAbdullāh,Ṣafwān ibn ʿAbdullāh ibn Ṣafwān ibn Umayyah ibn Khalaf,Safwan ibn Abdullah ibn Safwan ibn Umayyah ibn Khalaf,male,,,,11457,11013,,http://qaalarasulallah.com/hadith.php?ID=4&Rows=1&SID=11457&head=Sunan%20an-Nasa%27i%20[Narrated%20by%20Umm%20al-Darda%27a%20%D8%A3%D9%85%20%D8%A7%D9%84%D8%AF%D8%B1%D8%AF%D8%A7%D8%A1],
11013,Ibn Shihāb az-Zuhri,Muḥammad ibn Muslim ibn ʿUbaydullāh ibn ʿAbdullāh ibn Shihāb al-Zuhri,Muhammad ibn Muslim ibn Ubaydullah ibn Abdullah ibn Shihab al-Zuhri,male,,,,10920,20012,,http://qaalarasulallah.com/hadith.php?ID=4&Rows=1&SID=11457&head=Sunan%20an-Nasa%27i%20[Narrated%20by%20Umm%20al-Darda%27a%20%D8%A3%D9%85%20%D8%A7%D9%84%D8%AF%D8%B1%D8%AF%D8%A7%D8%A1],
20012,Sufyān al-Thawri,Sufyān ibn Saʾīd al-Thawri,Sufyan ibn Said al-Thawri,male,,,,11013,,"8th century jurist, author, ascetic, and hafiẓ ",http://qaalarasulallah.com/hadith.php?ID=4&Rows=1&SID=11457&head=Sunan%20an-Nasa%27i%20[Narrated%20by%20Umm%20al-Darda%27a%20%D8%A3%D9%85%20%D8%A7%D9%84%D8%AF%D8%B1%D8%AF%D8%A7%D8%A1],
18679,Ṭalḥah ibn ʿUbaydillāh,Ṭalḥah ibn ʿUbaydillāh ibn Karīz,Talhah ibn Ubaydillah ibn Kariz,male,,,,11457,,,http://qaalarasulallah.com/hadith.php?ID=1&Rows=5&SID=11457&head=Sahih%20Muslim%20[Narrated%20by%20Umm%20al-Darda%27a%20%D8%A3%D9%85%20%D8%A7%D9%84%D8%AF%D8%B1%D8%AF%D8%A7%D8%A1],
