id,displayname,fullname,searchname,gender,generation,teachers,students,specifiedteachers,specifiedstudents,info,hadiths,notes
1,Prophet Muḥammad,"Prophet Muḥammad, peace and blessings be upon him",Prophet Muhammad,male,,,,,56,,,
56,Umm Salamah,Hind bint Abi Umayyah ibn al-Mughīrah,Umm Salamah Hind bint Abi Umayyah ibn al-Mughīrah,female,,,,1,"11002, 10526, 11811, 10520, 10567, 244, 10737, 2802, 11044",Wife of the Prophet Muḥammad ﷺ,,
244,Zaynab bint Abi Salamah,Zaynab bint Abi Salamah,Zaynab bint Abi Salamah,female,,"57, 59, 53, 56, 1",10511,56,"10511, 10567, 11120","Daughter of Umm Salamah, and step-daughter of the Prophet ﷺ","https://isnad.io/hadith/1484, https://isnad.io/hadith/5272, https://ahadith.co.uk/hadithbynarrator.php?n=Zainab+bint+Abi+Salama&bid=1&let=Z",
2802,Ṣafiyyah bint Shaybah,Ṣafiyyah bint Shaybah ibn ʿUthmān,Safiyyah bint Shaybah ibn Uthman,female,,,,56,,,https://isnad.io/hadith/17898,
10511,ʿUrwah ibn al-Zubayr,ʿUrwah ibn al-Zubayr ibn al-ʿAwwām,Urwah ibn al-Zubayr ibn al-Awwam,male,,,,244,11065,Nephew of ʿĀʾishah bint Abi Bakr,"https://isnad.io/hadith/1484, http://qaalarasulallah.com/hadith.php?ID=0&Rows=38&SID=244&head=Sahih%20Bukhari%20[Narrated%20by%20Zaynab%20bint%20Abi%20Salamah%20%D8%B2%D9%8A%D9%86%D8%A8%20%D8%A8%D9%86%D8%AA%20%D8%A3%D8%A8%D9%8A%20%D8%B3%D9%84%D9%85%D8%A9%20]",
10520,ʿAbdullāh ibn ʿAbdur-Raḥmān ibn Abi Bakr,ʿAbdullāh ibn ʿAbdur-Raḥmān ibn Abi Bakr,Abdullah ibn Abdur-Rahman ibn Abi Bakr,male,,56,11819,56,11819,Grandson of Abi Bakr and the nephew of ʿĀʾishah bint Abi Bakr,https://isnad.io/hadith/16579,
10526,Fāṭimah bint al-Munthir ibn al-Zubayr,Fāṭimah bint al-Munthir ibn al-Zubayr ibn al-ʿAwwām,Fatimah bint al-Munthir ibn al-Zubayr ibn al-Awwam,female,,"53, 56, 70",,56,11065,Wife of Hishām ibn ʿUrwah ibn al-Zubayr and great-niece of ʿĀʾishah bint Abi Bakr,https://isnad.io/hadith/32068,
10567,Abu Salamah ibn ʿAbdur-Raḥmān,Abu Salamah ibn ʿAbdur-Raḥmān ibn ʿAwf,Abu Salamah ibn Abdur-Rahman ibn Awf,male,,,,"56, 244",,,"https://isnad.io/hadith/5272, https://isnad.io/hadith/7395, https://isnad.io/hadith/17529",
10737,Khayrah Umm al-Hasan al-Baṣri ,Khayrah Umm al-Hasan al-Baṣri ,Khayrah Umm al-Hasan al-Basri ,female,,"53, 56",11016,56,11016,"Servant of Umm Salamah and the mother of the famous scholar, Al-Hasan Al-Baṣri","https://isnad.io/hadith/13435, https://isnad.io/hadith/21371, https://isnad.io/hadith/23548",
11002,Saʿīd ibn al-Musayyib,Saʿīd ibn al-Musayyib ibn Ḥazn al-Qurashi al-Makhzūmi,Said ibn al-Musayyib ibn Hazn al-Qurashi al-Makhzumi,male,,"53, 10511, 56",,56,20001,One of the Seven Jurists (Fuqahāʿ) of Medina,https://isnad.io/hadith/2966,
11014,Nāfiʿ Mawlā Ibn ʿUmar,Nāfiʿ Abu ʿAbdullāh Mawlā Ibn ʿUmar,Nafi Abu Abdullah Mawla Ibn Umar,male,,"10535, 11201, 18, 11811, 11819","20001, 11201","11819, 11811",,Servant of ʿAbdullāh ibn ʿUmar,"https://isnad.io/hadith/29520, https://isnad.io/hadith/16579",
