id,displayname,fullname,searchname,gender,generation,teachers,students,specifiedteachers,specifiedstudents,info,hadiths,notes
1,Prophet Muḥammad,"Prophet Muḥammad, peace and blessings be upon him",Prophet Muhammad,male,,,,,"71, 19, 5068",,,
19,Anas ibn Mālik ,Anas ibn Mālik ,Anas ibn Malik ,male,,,,1,11039,"A child companion who befriended, served, and observed the Prophet ﷺ since the Hijrah, when he was 10 years old, and grew up to be a prominent narrator of hadith",http://qaalarasulallah.com/hadith.php?ID=0&Rows=22&SID=11039&head=Sahih%20Bukhari%20[Narrated%20by%20Hafsa%20bint%20Sirin%20%D8%AD%D9%81%D8%B5%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B3%D9%8A%D8%B1%D9%8A%D9%86],
71,Um ʿAṭiyyah al-Anṣāriyyah,Nasībah bint al-Ḥārith Um ʿAṭiyyah al-Anṣāriyyah,Nasibah bint al-Harith Um Atiyyah al-Ansariyyah,female,,,,1,11039,"The woman who helped Ḥafṣah bint ʿUmar wash the body of Zaynab, the daughter of the Prophet ﷺ",http://qaalarasulallah.com/hadith.php?ID=0&Rows=22&SID=11039&head=Sahih%20Bukhari%20[Narrated%20by%20Hafsa%20bint%20Sirin%20%D8%AD%D9%81%D8%B5%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B3%D9%8A%D8%B1%D9%8A%D9%86],
5068,Salmān ibn ʿĀmir,Salmān ibn ʿĀmir ibn Aws al-Ḍabi,Salman ibn Amir ibn Aws al-Dabi,male,,,,1,19958,Uncle of al-Rabāb Um al-Rāʾiḥ,"https://sunnah.com/tirmidhi:658, http://qaalarasulallah.com/hadith.php?ID=5&Rows=8&SID=11039&head=Sunan%20Ibn%20Majah%20[Narrated%20by%20Hafsa%20bint%20Sirin%20%D8%AD%D9%81%D8%B5%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B3%D9%8A%D8%B1%D9%8A%D9%86]",I'm pretty sure he's Rabab's uncle bc the page for Rabab (http://muslimscholars.info/manage2.php?submit=scholar&ID=19958) says that her uncle's name is Salim ibn Amir al-Dhabi and the info for this person's scholar page (http://muslimscholars.info/manage.php?submit=scholar&ID=5068) says that al-Dhabi is in his name too
11015,Ayyūb al-Sakhtiyāni,Ayyūb ibn Abi Tamīmah al-Sakhtiyāni,Ayyub ibn Abi Tamimah al-Sakhtiyani,male,,,,"11039, 11035",20022,,http://qaalarasulallah.com/hadith.php?ID=0&Rows=22&SID=11039&head=Sahih%20Bukhari%20[Narrated%20by%20Hafsa%20bint%20Sirin%20%D8%AD%D9%81%D8%B5%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B3%D9%8A%D8%B1%D9%8A%D9%86],
11035,Muḥammad ibn Sīrīn,Muḥammad ibn Sīrīn,Muhammad ibn Sirin,male,,,,11039,11015,A prominent 8th century scholar and hadith narrator and brother of Ḥafṣah bint Sīrīn. ,http://qaalarasulallah.com/hadith.php?ID=1&Rows=14&SID=11039&head=Sahih%20Muslim%20[Narrated%20by%20Hafsa%20bint%20Sirin%20%D8%AD%D9%81%D8%B5%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B3%D9%8A%D8%B1%D9%8A%D9%86],
11039,Ḥafṣah bint Sīrīn,Um al-Huthayl Ḥafṣah bint Sīrīn al-Anṣāriyyah,Um al-Huthayl Hafsah bint Sirin al-Ansariyyah,female,,,,"71, 19, 19958","11065, 11035, 11015","8th century jurist, scholar, ascetic, and sister of the famous scholar Muḥammad ibn Sīrīn",http://qaalarasulallah.com/hadith.php?ID=3&Rows=6&SID=11039&head=Jami%27%20al-Tirmidhi%20[Narrated%20by%20Hafsa%20bint%20Sirin%20%D8%AD%D9%81%D8%B5%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B3%D9%8A%D8%B1%D9%8A%D9%86],maybe mention that quote from nadwi's book about someone who preferred her hadiths to her brother's
11065,Hishām ibn ʿUrwah,Hishām ibn ʿUrwah ibn az-Zubayr ibn al-ʿAwwām,Hisham ibn Urwah ibn az-Zubayr ibn al-Awwam,male,,,,11039,20012,Son of ʿUrwah ibn al-Zubayr and great-nephew of ʿAʾishah bint Abi Bakr,http://qaalarasulallah.com/hadith.php?ID=0&Rows=22&SID=11039&head=Sahih%20Bukhari%20[Narrated%20by%20Hafsa%20bint%20Sirin%20%D8%AD%D9%81%D8%B5%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B3%D9%8A%D8%B1%D9%8A%D9%86],
19958,Al-Rabāb bint Ṣulayʿ,Um al-Rāʾiḥ Al-Rabāb bint Ṣulayʿ al-Ḍabiyyah,Um al-Raih Al-Rabab bint Sulay al-Dabiyyah,female,,,,5068,11039,Niece of Salmān ibn ʿĀmir,"https://sunnah.com/tirmidhi:658, http://qaalarasulallah.com/hadith.php?ID=5&Rows=8&SID=11039&head=Sunan%20Ibn%20Majah%20[Narrated%20by%20Hafsa%20bint%20Sirin%20%D8%AD%D9%81%D8%B5%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B3%D9%8A%D8%B1%D9%8A%D9%86]",
20012,Sufyān al-Thawri,Sufyān ibn Saʾīd al-Thawri,Sufyan ibn Said al-Thawri,male,,,,11065,,"8th century jurist, author, ascetic, and hafiẓ ","https://sunnah.com/tirmidhi:658, http://qaalarasulallah.com/hadith.php?ID=0&Rows=22&SID=11039&head=Sahih%20Bukhari%20[Narrated%20by%20Hafsa%20bint%20Sirin%20%D8%AD%D9%81%D8%B5%D8%A9%20%D8%A8%D9%86%D8%AA%20%D8%B3%D9%8A%D8%B1%D9%8A%D9%86]",
