id,displayname,fullname,searchname,gender,generation,teachers,students,specifiedteachers,specifiedstudents,info,hadiths,notes
1,Prophet Muḥammad,"Prophet Muḥammad, peace and blessings be upon him",Prophet Muhammad,male,,,,,54,,,
54,Ḥafṣah bint ʿUmar,Ḥafṣah bint ʿUmar ibn al-Khaṭṭāb,Hafsah bint Umar,female,,,,"1, 7","18, 11818, 11811, 1293, 5295, 4109, 10773, 487, 18400, 448, 11394, 11313","Wife of the Prophet ﷺand daughter of ʿUmar, the second caliph",,
18,Ābdullāh ibn ʿUmar,Ābdullāh ibn ʿUmar ibn al-Khaṭṭāb,Abdullah ibn Umar ibn al-Khattab,male,,,,54,"11014, 11818",Brother of Ḥafṣah bint ʿUmar,"https://isnad.io/hadith/1953, https://isnad.io/hadith/231, https://isnad.io/hadith/22199",
11818,Ḥamzah ibn ʿAbdullāh ibn ʿUmar,Ḥamzah ibn ʿAbdullāh ibn ʿUmar ibn al-Khaṭṭāb,Hamzah ibn Abdullāh ibn Umar ibn al-Khattab,male,,"18, 53, 54",11013,"54, 18",11013,Son of Ābdullāh ibn ʿUmar and therefore nephew of Ḥafṣah bint ʿUmar,"https://isnad.io/hadith/22199, https://isnad.io/hadith/22202",
11811,Ṣafiyyah bint Abi ʿUbayd al-Thaqafi,Ṣafiyyah bint Abi ʿUbayd ibn Masʿūd al-Thaqafi,,female,,"53, 54, 56, 10535",,54,11014,Wife of Ābdullāh ibn ʿUmar and therefore sister-in-law of Ḥafṣah bint ʿUmar,https://isnad.io/hadith/29518,"https://muslimscholars.info/manage.php?submit=scholar&ID=11811, https://isnad.io/rawi/11811 "
1293,Um Mubāshir al-Anṣāriyyah,Um Mubāshir al-Anṣāriyyah,Um Mubashir al-Ansariyyah,female,,,,54,34,,http://qaalarasulallah.com/hadith.php?ID=5&Rows=1&SID=1293&head=Sunan%20Ibn%20Majah%20[Narrated%20by%20Umm%20Mubashir%20al-Ansariyya%20%D8%A3%D9%85%20%D9%85%D8%A8%D8%B4%D8%B1%20%D8%A7%D9%84%D8%A3%D9%86%D8%B5%D8%A7%D8%B1%D9%8A%D8%A9],
5295,al-Muṭṭalib ibn Abi Wadāʿah,al-Muṭṭalib ibn Abi Wadāʿah al-Sahmi,al-Muttalib ibn Abi Wadaah al-Sahmi,male,,,,54,3048,,"http://qaalarasulallah.com/hadith.php?ID=3&Rows=3&SID=5295&head=Jami%27%20al-Tirmidhi%20[Narrated%20by%20al-Mtlb%20bin%20Abi%20Wda%27h%20%D8%A7%D9%84%D9%85%D8%B7%D9%84%D8%A8%20%D8%A8%D9%86%20%D8%A3%D8%A8%D9%8A%20%D9%88%D8%AF%D8%A7%D8%B9%D8%A9%20%D8%A7%D9%84%D8%AD%D8%A7%D8%B1%D8%AB], http://qaalarasulallah.com/hadith.php?ID=4&Rows=2&SID=5295&head=Sunan%20an-Nasa%27i%20[Narrated%20by%20al-Mtlb%20bin%20Abi%20Wda%27h%20%D8%A7%D9%84%D9%85%D8%B7%D9%84%D8%A8%20%D8%A8%D9%86%20%D8%A3%D8%A8%D9%8A%20%D9%88%D8%AF%D8%A7%D8%B9%D8%A9%20%D8%A7%D9%84%D8%AD%D8%A7%D8%B1%D8%AB]",
4109,Ḥārithah ibn Wahb,Ḥārithah ibn Wahb al-Khuzāʿi,Harithah ibn Wahb al-Khuzai,male,,,,54,11396,,"http://qaalarasulallah.com/hadith.php?ID=2&Rows=3&SID=4109&head=Sunan%20Abi%20Da%27ud%20[Narrated%20by%20Harithh%20bin%20Wahb%20al-Khza%27y%20%D8%AD%D8%A7%D8%B1%D8%AB%D8%A9%20%D8%A8%D9%86%20%D9%88%D9%87%D8%A8%20%D8%A7%D9%84%D8%AE%D8%B2%D8%A7%D8%B9%D9%8A], https://isnad.io/hadith/18181",
10773,Shutayr ibn Shakl,Shutayr ibn Shakl ibn Hamīd,Shutayr ibn Shakl ibn Hamid,male,,,,54,,,http://qaalarasulallah.com/hadith.php?ID=1&Rows=3&SID=10773&head=Sahih%20Muslim%20[Narrated%20by%20Shtyr%20bin%20Shkl%20bin%20Hameed%20%D8%B4%D8%AA%D9%8A%D8%B1%20%D8%A8%D9%86%20%D8%B4%D9%83%D9%84],
487,ʿAbdullāh ibn Ṣafwān,ʿAbdullāh ibn Ṣafwān ibn Umayyah,Abdullah ibn Safwan ibn Umayyah,male,,,,54,13005,,https://isnad.io/hadith/13999,
18400,Suwāʾ al-Khuzāʿī,Suwāʾ al-Khuzāʿī,Suwa al-Khuzai,male,,"53, 54, 56",,54,,,https://isnad.io/hadith/15785,
