id,displayname,fullname,searchname,gender,generation,teachers,students,specifiedteachers,specifiedstudents,info,hadiths,notes
1,Prophet Muḥammad,"Prophet Muḥammad, peace and blessings be upon him",Prophet Muhammad,male,,,"53, 2, 3, 9, 63, 54",,,,,
2,Abu Bakr as-Ṣiddīq,Abu Bakr as-Ṣiddīq,Abu Bakr as-Siddiq,male,,1,53,,,Father of ʿAʾishah bint Abi Bakr and the first caliph in Islam,,
3,ʿUmar ibn al-Khaṭṭāb,ʿUmar ibn al-Khaṭṭāb,Umar ibn al-Khattab,male,,1,53,,,The second caliph in Islam,,
9,Saʿd ibn Abi Waqqāṣ,Saʿd ibn Abi Waqqāṣ,Sad ibn Abi Waqqas,male,,1,53,,,,,
13,Abu Hurayrah,Abu Hurayrah Abdur-Rahman ibn Sakhr,Abu Hurayrah Abdur-Rahman ibn Sakhr,male,,53,,,,,,
17,ʿAbdullāh ibn ʿAbbās,ʿAbdullāh ibn ʿAbbās,Abdullah ibn Abbas,male,,53,,,,,,
18,ʿAbdullāh ibn ʿUmar,ʿAbdullāh ibn ʿUmar ibn al-Khaṭṭāb,Abdullah ibn Umar ibn al-Khattab,male,,"53, 11811, 54","11011, 11014, 11818",,,"Brother of Ḥafṣah bint ʿUmar, another wife of the Prophet ﷺ",,
34,Jābir ibn ʿAbdullāh,Jābir ibn ʿAbdullāh ibn ʿAmr ibn Thaʿlabah,Jabir ibn Abdullāh ibn Amr ibn Thalabah,male,,11811,,,,,,
41,Abu Mūsā al-Ashʿari,Abu Mūsā al-Ashʿari,Abu Musa al-Ashari,male,,53,,,,,,
53,ʿAʾishah bint Abi Bakr,ʿAʾishah bint Abi Bakr,Aishah bint Abi Bakr,female,,"1, 2, 3, 6, 9, 63, 961","70, 106, 13, 17, 18, 41, 28, 10535, 10511, 10520, 10521, 10522, 11002, 10504, 10567, 11455, 11818, 10521",,,,,
54,Ḥafṣah bint ʿUmar,Ḥafṣah bint ʿUmar ibn al-Khaṭṭāb,Hafsah bint Umar,female,,"1, 7","18, 11818, 11811, 1293, 5295, 4109, 10773, 487, 18400, 448, 11394, 11313",,,"Wife of the Prophet ﷺand daughter of ʿUmar, the second caliph",,
63,Fāṭimah bint Muḥamamd,Fāṭimah bint Muḥamamd,Fatimah bint Muhamamd,female,,1,53,,,Daughter of the Prophet and step-daughter of ʿAʾishah bint Abi Bakr,,
70,Asmāʾ bint Abi Bakr,Asmāʾ bint Abi Bakr,Asma bint Abi Bakr,female,,53,10526,,,Sister of ʿAʾishah bint Abi Bakr,,
71,Um ʿAṭiyyah al-Anṣāriyyah,Nasībah bint al-Ḥārith Um ʿAṭiyyah al-Anṣāriyyah,Nasibah bint al-Harith Um Atiyyah al-Ansariyyah,female,,"1, 3","19, 11035, 11039, 19549, 54",,,"She helped Ḥafṣah bint ʿUmar wash the body of Zaynab, the daughter of the Prophet ﷺ",,
106,ʿAbdullāh ibn al-Zubayr,ʿAbdullāh ibn al-Zubayr ibn al-ʿAwwām,Abdullah ibn al-Zubayr ibn al-Awwam,male,,53,,,,Nephew of ʿAʾishah bint Abi Bakr,,
487,ʿAbdullāh ibn Ṣafwān,ʿAbdullāh ibn Ṣafwān ibn Umayyah,Abdullah ibn Safwan ibn Umayyah,male,,54,13005,,,,,
1293,Um Mubāshir al-Anṣāriyyah,Um Mubāshir al-Anṣāriyyah,Um Mubashir al-Ansariyyah,female,,54,34,,,,,
4109,Ḥārithah ibn Wahb,Ḥārithah ibn Wahb al-Khuzāʿi,Harithah ibn Wahb al-Khuzai,male,,"11455, 54",11396,,,,,
5295,al-Muṭṭalib ibn Abi Wadāʿah,al-Muṭṭalib ibn Abi Wadāʿah al-Sahmi,al-Muttalib ibn Abi Wadaah al-Sahmi,male,,54,3048,,,,,
10504,ʿAiʾshah bint Ṭalḥah,ʿAiʾshah bint Ṭalḥah ibn ʿUbaydillāh,Aishah bint Talhah ibn Ubaydillah,female,,53,11863,,,"Wife of ʿAbdullāh ibn ʿAbdur-Raḥmān ibn Abi Bakr, who was the nephew of ʿĀʾishah bint Abi Bakr",,
10511,ʿUrwah ibn al-Zubayr,ʿUrwah ibn al-Zubayr ibn al-ʿAwwām,Urwah ibn al-Zubayr ibn al-Awwam,male,,"53, 11455","11013, 11065, 11002",,,Nephew of ʿĀʾishah bint Abi Bakr,,
10521,Ḥafṣah bint ʿAbdur-Raḥmān,Ḥafṣah bint ʿAbdur-Raḥmān ibn Abi Bakr,Hafsah bint Abdur-Rahman ibn Abi Bakr,female,,"53, 107",11204,,,Granddaughter of Abu Bakr and therefore the niece of ʿĀʾishah,,
10526,Fāṭimah bint al-Munthir ibn al-Zubayr,Fāṭimah bint al-Munthir ibn al-Zubayr ibn al-ʿAwwām,Fatimah bint al-Munthir ibn al-Zubayr ibn al-Awwam,female,,"53, 56, 70",11065,,,Wife of Hishām ibn ʿUrwah ibn al-Zubayr and great-niece of ʿĀʾishah bint Abi Bakr,,
10530,ʿAbdur-Raḥmān ibn al-Qāsim ,ʿAbdur-Raḥmān ibn al-Qāsim ibn Muḥammad ibn Abi Bakr,Abdur-Rahman ibn al-Qasim ibn Muhammad ibn Abi Bakr,male,,10535,20001,,,Son of al-Qāsim ibn Muḥammad and great-nephew of ʿAʾishah bint Abi Bakr,,
10535,al-Qāsim ibn Muḥammad,al-Qāsim ibn Muḥammad ibn Abi Bakr,al-Qasim ibn Muhammad ibn Abi Bakr,male,,53,"11555, 10530, 11014",,,Nephew of ʿAʾishah bint Abi Bakr,,
10567,Abu Salamah ibn ʿAbdur-Raḥmān,Abu Salamah ibn ʿAbdur-Raḥmān,Abu Salamah ibn Abdur-Rahman,female,,53,"11013, 11164, 11168",,,,,
10737,Khayrah Um al-Hasan al-Baṣri ,Khayrah Um al-Hasan al-Baṣri ,Khayrah Um al-Hasan al-Basri ,female,,"53, 56",11016,,,"Servant of Um Salamah and the mother of the famous scholar, Al-Hasan Al-Baṣri",,
10773,Shutayr ibn Shakl,Shutayr ibn Shakl ibn Hamīd,Shutayr ibn Shakl ibn Hamid,male,,54,,,,,,
11002,Saʿīd ibn al-Musayyib,Saʿīd ibn al-Musayyib ibn Ḥazn al-Qurashi al-Makhzūmi,Said ibn al-Musayyib ibn Hazn al-Qurashi al-Makhzumi,male,,"53, 10511, 56",11013,,,One of the Seven Jurists (Fuqahāʿ) of Medina,,
11013,Ibn Shihāb az-Zuhri,Muḥammad ibn Muslim ibn ʿUbaydullāh ibn ʿAbdullāh ibn Shihāb al-Zuhri,Muhammad ibn Muslim ibn Ubaydullah ibn Abdullah ibn Shihab al-Zuhri,male,,"10511, 10567, 11002, 3048, 11818",20001,,,,,
11014,Nāfiʿ Mawlā Ibn ʿUmar,Nāfiʿ Abu ʿAbdullāh Mawlā Ibn ʿUmar,Nafi Abu Abdullah Mawla Ibn Umar,male,,"10535, 11201, 18, 11811, 11819","20001, 11201",,,Servant of ʿAbdullāh ibn ʿUmar,,
